timestamp,segment,station_upstream,station_downstream,pipe_diameter_in,pipe_length_m,pressure_upstream_psi,pressure_downstream_psi,pressure_drop_psi,flow_upstream_lps,flow_downstream_lps,flow_diff_lps,vibration_g,acoustic_db,is_leak,severity,water_loss_lpm
756,SEG3,S3,S4,6.0,275,55.77,50.29,5.49,4.426,4.426,0.0,0.088,32.25,0,none,0.018
660,SEG2,S2,S3,6.0,300,56.02,41.0,15.03,7.324,7.323,0.001,0.203,27.69,0,none,0.049
2095,SEG2,S2,S3,6.0,300,54.33,38.73,15.6,7.541,7.541,0.001,0.298,31.67,0,none,0.039
304,SEG1,S1,S2,8.0,250,56.09,47.09,9.0,6.521,6.503,0.018,0.136,31.65,1,small,1.088
241,SEG3,S3,S4,6.0,275,53.85,47.33,6.52,4.477,4.469,0.008,0.195,31.95,1,small,0.505
1577,SEG3,S3,S4,6.0,275,54.1,46.62,7.48,4.738,4.714,0.025,0.255,30.12,1,small,1.482
1035,SEG1,S1,S2,8.0,250,55.33,50.53,4.8,5.338,5.337,0.001,0.144,30.77,0,none,0.041
1976,SEG3,S3,S4,6.0,275,54.84,49.39,5.45,4.307,4.305,0.002,0.237,27.88,0,none,0.118
3872,SEG2,S2,S3,6.0,300,53.02,40.13,12.89,6.73,6.728,0.002,0.238,28.62,0,none,0.132
341,SEG3,S3,S4,6.0,275,54.98,44.75,10.23,5.818,5.779,0.039,0.221,33.76,1,small,2.324
2914,SEG3,S3,S4,6.0,275,55.67,45.83,9.85,5.667,5.636,0.031,0.316,34.35,1,small,1.847
1815,SEG2,S2,S3,6.0,300,54.82,39.38,15.45,7.571,7.571,0.0,0.215,33.47,0,none,0.006
3298,SEG3,S3,S4,6.0,275,53.78,45.66,8.13,5.474,5.471,0.002,0.293,28.5,0,none,0.144
2444,SEG4,S4,S5,4.0,200,55.16,46.87,8.29,4.72,4.72,0.0,0.243,29.4,0,none,0.018
670,SEG3,S3,S4,6.0,275,55.38,47.21,8.17,5.64,5.638,0.002,0.2,29.5,0,none,0.109
3128,SEG1,S1,S2,8.0,250,56.38,51.77,4.61,5.402,5.401,0.001,0.264,27.78,0,none,0.037
1514,SEG2,S2,S3,6.0,300,54.42,38.87,15.55,7.469,7.468,0.001,0.221,32.44,0,none,0.042
498,SEG3,S3,S4,6.0,275,53.49,48.92,4.57,3.982,3.981,0.001,0.26,28.0,0,none,0.046
3492,SEG3,S3,S4,6.0,275,56.53,39.73,16.8,5.499,5.374,0.124,0.432,43.15,1,severe,7.469
1028,SEG2,S2,S3,6.0,300,54.22,43.87,10.36,6.133,6.131,0.002,0.195,31.23,0,none,0.143
